id,name,kind,priority,discovery_url,submission_url,route,next_step,status,checked_at,submission_route_verified
official-registry,Official MCP Registry,registry,P0,https://modelcontextprotocol.io/registry/quickstart,https://modelcontextprotocol.io/registry/quickstart,mcp-publisher metadata registration after PyPI publication and GitHub namespace authentication,Local server.json and README marker prepared; package publication and namespace ownership verification intentionally pending.,not_submitted,2026-09-16,True
github-mcp,GitHub MCP Registry,client-directory,P1,https://github.com/mcp,,Curated discovery directory; confirm current ingestion or submission route with GitHub documentation,Do not promise automatic inclusion after official-registry publication; verify listing criteria at launch.,not_submitted,2026-09-16,False
vscode-gallery,VS Code MCP gallery,syndicated-directory,P2,https://code.visualstudio.com/mcp,,The former VS Code gallery URL redirects to GitHub MCP Registry,Track the GitHub listing once; no duplicate submission.,not_submitted,2026-09-16,False
smithery,Smithery,registry-and-distribution,P1,https://smithery.ai/docs/build/publish,https://smithery.ai/docs/build/publish,Publish a remote MCP URL or a local MCPB artifact through Smithery's current publisher,Local server needs an MCPB build and install qualification; hosted route needs authentication and deployment work. Neither artifact is claimed ready.,not_submitted,2026-09-16,True
glama,Glama,directory,P1,https://glama.ai/mcp/servers,,Inspect repository discovery and authenticated listing/claim controls,Directory verified; exact self-service submission route still needs browser/account confirmation. Guessed /add and /config URLs are author-filter redirects.,not_submitted,2026-09-16,False
pulsemcp,PulseMCP,directory,P1,https://www.pulsemcp.com/submit,https://www.pulsemcp.com/submit,Submit server metadata through the public form,Use launch-kit copy and repository URL after release; review form and disclosure fields.,not_submitted,2026-09-16,True
cline,Cline MCP Marketplace,client-marketplace,P1,https://raw.githubusercontent.com/cline/mcp-marketplace/main/README.md,https://github.com/cline/mcp-marketplace/issues/new?template=mcp-server-submission.yml,Open the repository's MCP server submission issue,400x400 PNG and llms-install.md prepared; the required real Cline README-guided installation check remains pending.,not_submitted,2026-09-16,True
docker,Docker MCP Catalog and Toolkit,registry-and-distribution,P1,https://raw.githubusercontent.com/docker/mcp-registry/main/CONTRIBUTING.md,https://github.com/docker/mcp-registry/blob/main/CONTRIBUTING.md,Generate a servers/cite-nexus/server.yaml entry and submit a reviewed PR,"Dockerfile exists; build and toolkit integration test, exact source commit and generated catalog metadata remain pending. Docker daemon was unavailable.",not_submitted,2026-09-16,True
mcp-so,MCP.so,directory,P1,https://mcp.so,https://mcp.so/submit,Public Submit form linked from the marketplace,Prepare standard short/long copy and icon; check account and current form requirements at launch.,not_submitted,2026-09-16,True
mcpservers-org,MCPServers.org,directory,P1,https://mcpservers.org,https://mcpservers.org/submit,Public submission form,This is also the submission path recommended by wong2's curated repository; submit once.,not_submitted,2026-09-16,True
mcpmarket,MCP Market,directory,P2,https://mcpmarket.com,https://mcpmarket.com/submit,Public Submit form linked from the marketplace,Check whether a free listing is offered separately from paid promotion; no spend authorized or performed.,not_submitted,2026-09-16,True
mcpserverfinder,MCP Server Finder,directory,P2,https://www.mcpserverfinder.com,https://www.mcpserverfinder.com/categories/submit-mcp-server,Submission page linked by the directory,"Review account, required metadata and any fee before deciding launch priority.",not_submitted,2026-09-16,False
lobehub,LobeHub MCP Marketplace,client-marketplace,P1,https://lobehub.com/publish-mcp/skill.md,https://market.lobehub.com/s/publish-mcp,"Official market CLI with browser OIDC, GitHub ownership and a versioned listing manifest","Prepare the local listing with current manifest reference; do not log in, claim, install publisher skills or publish during preparation.",not_submitted,2026-09-16,True
awesome-punkpeye,punkpeye/awesome-mcp-servers,curated-list,P1,https://raw.githubusercontent.com/punkpeye/awesome-mcp-servers/main/CONTRIBUTING.md,https://github.com/punkpeye/awesome-mcp-servers/blob/main/CONTRIBUTING.md,One alphabetical README entry through a reviewed contribution,Public installable repo fits scope; category and platform symbols must match actual support. PR text is drafted locally.,not_submitted,2026-09-16,True
awesome-wong2,wong2/awesome-mcp-servers,curated-list,P2,https://raw.githubusercontent.com/wong2/awesome-mcp-servers/main/README.md,https://mcpservers.org/submit,Repository directs new server submissions to MCPServers.org,Share submission tracking with mcpservers-org; no duplicate promotion.,not_submitted,2026-09-16,True
awesome-appcypher,appcypher/awesome-mcp-servers,curated-list,P2,https://github.com/appcypher/awesome-mcp-servers,https://github.com/appcypher/awesome-mcp-servers/blob/main/CONTRIBUTING.md,Repository contribution process,Check current category and entry style immediately before preparing the final patch.,not_submitted,2026-09-16,True
claude-plugins,Claude Code plugin directory,client-plugin-marketplace,P2,https://code.claude.com/docs/en/plugins,https://platform.claude.com/plugins/submit,Submit a plugin through Claude's documented plugin form,Local MCP-only compatibility manifest prepared; native plugin install/uninstall qualification and published artifact still pending.,not_submitted,2026-09-16,True
claude-connectors,Claude Connectors Directory,client-marketplace,P2,https://support.claude.com/en/articles/11596036-anthropic-connectors-directory-faq,https://support.claude.com/en/articles/11596036-anthropic-connectors-directory-faq,Follow the linked directory submission flow for the relevant connector type,Choose desktop MCPB or a reviewed remote integration; current source checkout is not a directory-ready connector.,not_submitted,2026-09-16,False
openai-plugins,ChatGPT and Codex Plugins Directory,client-plugin-marketplace,P2,https://developers.openai.com/plugins/build/plugins,https://developers.openai.com/plugins/build/plugins,Universal public plugin directory; standard public MCP submission uses a remote HTTPS integration,"Local portable/Codex manifests are prepared for local testing only. Hosted authentication, review and registered connection are not implemented.",not_submitted,2026-09-16,False
gemini-gallery,Gemini CLI Extension Gallery,client-plugin-directory,P2,https://geminicli.com/docs/extensions/releasing/,https://geminicli.com/docs/extensions/releasing/,Public GitHub repository with gemini-cli-extension topic is automatically discovered under documented eligibility rules,CiteNexus has no standalone Gemini extension artifact yet; WTF-P's separate Gemini projection does not certify CiteNexus native integration.,not_submitted,2026-09-16,True
agentplugins,Agent Plugins ecosystem,packaging-standard,P2,https://agent-plugins.org,,"Portable packaging standard, not a public server marketplace",Portable plugin.json and mcp.json prepared and schema checked; native client lifecycle qualification is separate.,not_submitted,2026-09-16,False
cursor-directory,Cursor Directory MCP listings,directory,P2,https://cursor.directory/mcp,,Browser verification needed; automated probe received HTTP 429,Do not assume the submission form or list status from a rate-limited response.,not_submitted,2026-09-16,False
mcpservers-com,MCPServers.com,directory,P2,https://mcpservers.com,,Browse listing/account controls to confirm a current submission route,Live directory confirmed; self-service route and listing policy not verified.,not_submitted,2026-09-16,False
mcp-get,MCP Get,package-directory,P2,https://mcp-get.com,,Confirm package registry onboarding and current package format,Homepage responds; no verified submission or maintenance evidence beyond that page.,not_submitted,2026-09-16,False
mcp-awesome,MCP Awesome,directory,P2,https://mcpawesome.com,,Confirm submission route in a browser,Homepage responds; no verified contribution process yet.,not_submitted,2026-09-16,False
mcp-list,MCPList.ai,directory,P2,https://mcplist.ai,,Site FAQ describes form or repository contributions; exact destination requires browser verification,Use standard metadata only after verifying a working submission route.,not_submitted,2026-09-16,False
azure-api-center,Azure API Center MCP catalog,enterprise-catalog,P3,https://learn.microsoft.com/en-us/azure/api-center/register-discover-mcp-server,https://learn.microsoft.com/en-us/azure/api-center/register-discover-mcp-server,Register and discover MCP servers inside an organization's API Center,"Enterprise distribution option, not an open public promotional marketplace; requires a customer integration.",not_submitted,2026-09-16,True
composio,Composio toolkits,integration-platform,P3,https://composio.dev/toolkits,,Managed integration catalog; no general third-party listing route verified,Potential partnership only; do not count as an available self-service MCP marketplace.,not_submitted,2026-09-16,False
pipedream,Pipedream Connect MCP,integration-platform,P3,https://pipedream.com/docs/connect/mcp,,Managed MCP integration platform,Not verified as a public submission destination for an independent Python server.,not_submitted,2026-09-16,False
railway,Railway templates,deployment-marketplace,P3,https://railway.com/templates,,Deployment-template marketplace with separate template contribution rules,Needs authenticated remote deployment design; current loopback server is not a public template ready for use.,not_submitted,2026-09-16,False
aws-marketplace,AWS Marketplace,cloud-marketplace,P3,https://docs.aws.amazon.com/marketplace/latest/userguide/mcp-server-products.html,,Research current AI/MCP seller product eligibility,Attempted MCP product URL redirected to generic user guide; no concrete MCP self-service route verified. Commercial seller onboarding is separate.,not_submitted,2026-09-16,False
